YEAR,ANNUAL_AVG_TEMPRATURE
1901,24.23
1902,24.33
1903,23.8
1904,23.86
1905,23.71
1906,24.12
1907,23.87
1908,23.95
1909,23.78
1910,23.77
1911,23.96
1912,24.11
1913,23.88
1914,24.03
1915,24.29
1916,24.08
1917,23.56
1918,23.83
1919,24.01
1920,23.91
1921,24.33
1922,24.05
1923,24.05
1924,24.15
1925,23.95
1926,24.04
1927,23.94
1928,24.29
1929,24.08
1930,23.93
1931,24.44
1932,24.21
1933,23.92
1934,24.13
1935,23.98
1936,24.12
1937,23.98
1938,23.98
1939,24.01
1940,24.06
1941,24.65
1942,24.22
1943,23.93
1944,24.03
1945,23.92
1946,24.42
1947,24.04
1948,24.11
1949,24.08
1950,23.71
1951,24.22
1952,24.34
1953,24.57
1954,24.13
1955,23.97
1956,23.96
1957,23.97
1958,24.62
1959,24.3
1960,24.29
1961,24
1962,24.04
1963,24.15
1964,24.1
1965,24.07
1966,24.36
1967,24.11
1968,23.94
1969,24.46
1970,24.26
1971,23.91
1972,24.1
1973,24.41
1974,24
1975,23.74
1976,24.07
1977,24.35
1978,24.24
1979,24.57
1980,24.55
1981,24.27
1982,24.15
1983,24.12
1984,24.26
1985,24.45
1986,24.2
1987,24.57
1988,24.42
1989,24.03
1990,24.21
1991,24.28
1992,24.15
1993,24.43
1994,24.46
1995,25.29
1996,24.55
1997,24.1
1998,24.76
1999,24.67
2000,24.6
2001,24.73
2002,25
2003,24.72
2004,24.74
2005,24.58
2006,25.06
2007,24.77
2008,24.61
2009,25.11
2010,25.13
2011,24.67
2012,24.69
2013,24.82
2014,24.73
2015,24.91
2016,26.45
2017,26.29
